"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","tenure_bin"
"1","7590-VHVEG","Female","NO","Yes","No",1,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",447,2505,"No","0-1 year"
"2","5575-GNVDE","Male","NO","No","No",28,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",802,1466,"No","2-3 years"
"3","3668-QPYBK","Male","NO","No","No",12,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",740,157,"Yes","0-1 year"
"4","7795-CFOCW","Male","NO","No","No",40,"No","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",571,1400,"No","3-4 years"
"5","9237-HQITU","Female","NO","No","No",12,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",1033,925,"Yes","0-1 year"
"6","9305-CDSKC","Female","NO","No","No",71,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",1578,6104,"Yes","5-6 years"
"7","1452-KIOVK","Male","NO","No","Yes",15,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",1379,1550,"No","1-2 years"
"8","6713-OKOMC","Female","NO","No","No",2,"No","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",445,2609,"No","0-1 year"
"9","7892-POOKP","Female","NO","Yes","No",21,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",91,2646,"Yes","1-2 years"
"10","6388-TABGU","Male","NO","No","Yes",59,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",786,3022,"No","4-5 years"
"11","9763-GRSKD","Male","NO","Yes","Yes",5,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",680,4823,"No","0-1 year"
"12","7469-LKBCI","Male","NO","No","No",8,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",313,2836,"No","0-1 year"
"13","8091-TTVAX","Male","NO","Yes","No",54,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",8,4693,"No","4-5 years"
"14","0280-XJGEX","Male","NO","No","No",44,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",69,4265,"Yes","3-4 years"
"15","5129-JLPIS","Male","NO","No","No",18,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",105,2337,"No","1-2 years"
"16","3655-SNQYZ","Female","NO","Yes","Yes",66,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",239,5959,"No","5-6 years"
"17","8191-XWSZG","Female","NO","No","No",48,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",347,46,"No","3-4 years"
"18","9959-WOFKT","Male","NO","No","Yes",69,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",129,5704,"No","5-6 years"
"19","4190-MFLUW","Female","NO","Yes","Yes",2,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",767,4416,"Yes","0-1 year"
"20","4183-MYFRB","Female","NO","No","No",14,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",1398,1433,"No","1-2 years"
"21","8779-QRDMV","Male","YES","No","No",1,"No","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",542,3340,"Yes","0-1 year"
"22","1680-VDCWW","Male","NO","Yes","No",4,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",330,1651,"No","0-1 year"
"23","1066-JKSGK","Male","NO","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",337,1609,"Yes","0-1 year"
"24","3638-WEABW","Female","NO","Yes","No",54,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",845,3041,"No","4-5 years"
"25","6322-HRPFA","Male","NO","Yes","Yes",44,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",839,2567,"No","3-4 years"
"26","6865-JZNKO","Female","NO","No","No",24,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",769,959,"No","1-2 years"
"27","6467-CHFZW","Male","NO","Yes","Yes",42,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",1572,4019,"Yes","3-4 years"
"28","8665-UTDHZ","Male","NO","Yes","Yes",1,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",453,2592,"Yes","0-1 year"
